Tarih;Karar (Ordin) No;Dosya Numarası;Ek Bilgi;Kaynak Belge
18.06.2026;2066P;7460/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;7487/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;33556/2021;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;29002/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;28389/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;29133/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;37577/2021;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;27555/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;40642/2023;Copii minori: 1;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;27503/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2066P;27308/2023;;O-2066-P-din-18.06.2026_Anonimizat.pdf
18.06.2026;2062P;38604/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;29530/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;29581/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;38805/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;42905/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;29761/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;37832/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;42576/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;38364/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;6728/2024;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;9615/2024;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;42796/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;38500/2023;Copii minori: 1;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;7429/2024;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;13006/2024;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;38179/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
