Tarih;Karar (Ordin) No;Dosya Numarası;Ek Bilgi;Kaynak Belge
18.06.2026;2062P;10702/2022;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;38453/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
18.06.2026;2062P;18604/2023;;Ordin-nr.2062P-din-18.06.2026-art.11_Anonimizat.pdf
17.06.2026;2054P;10009/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21776/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22018/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21939/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21950/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7281/2023;Copii minori: 3;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21774/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7255/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21948/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21773/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21998/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21929/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7264/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21938/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21940/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10700/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7266/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21994/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22001/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10032/2023;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10714/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22017/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21838/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22019/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21951/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10709/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22013/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21852/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10015/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21841/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10686/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7257/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21991/2021;Copii minori: 3;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21846/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10689/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21854/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21766/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10025/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21770/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21832/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21850/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21775/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21778/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21784/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21779/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10684/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21828/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21777/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10023/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21927/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21943/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21992/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21783/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7272/2023;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7262/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7267/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21839/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10715/2023;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21932/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10706/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7286/2023;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7283/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10008/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21949/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7280/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10031/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21826/2021;Copii minori: 3;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21834/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21999/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21789/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7260/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22000/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10703/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21930/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10027/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10030/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21840/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21768/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21847/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10012/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22026/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21785/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7278/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21788/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21845/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7258/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21923/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21931/2021;Copii minori: 3;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22023/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22025/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21936/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7256/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7277/2023;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21993/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21836/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21781/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21844/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21843/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21851/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21848/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21947/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10028/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10679/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10685/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7259/2023;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21933/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21928/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21771/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21769/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21954/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21924/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21792/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22011/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22014/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21829/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21837/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10036/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21849/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10038/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22010/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21782/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21793/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21830/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22012/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;7265/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21921/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21835/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21989/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21853/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21922/2021;Copii minori: 2;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;10035/2023;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21772/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;21920/2021;;op-2054-17.06.2026-art11_Anonimizat.pdf
17.06.2026;2054P;22002/2021;Copii minori: 1;op-2054-17.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;28814/2022;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;33213/2021;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;215/2022;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;50405/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;13935/2022;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;31809/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;83209/2019;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;31542/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;41179/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;19492/2023;Copii minori: 2;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;35371/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;43036/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;19824/2023;Copii minori: 2;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;37764/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;30037/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;43659/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;46987/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;31509/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;39808/2021;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;43730/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;31821/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;43741/2023;Copii minori: 2;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;71127/2019;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;17326/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;3626/2023;Copii minori: 2;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2050P;14941/2023;;Ordin-2050-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;29083/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;23618/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;1832/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;23338/2024;Copii minori: 5;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;17103/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;17159/2022;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;27571/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;23595/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;26572/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;24443/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;7425/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;29021/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;13682/2022;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;17803/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;23022/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;45775/2021;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;15419/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;31588/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;10773/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;11203/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;8292/2024;Copii minori: 1;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;18625/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;19546/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;26672/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;29387/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;23858/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;15050/2024;Copii minori: 2;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;20088/2022;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;19080/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;19381/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;10276/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;15497/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;1100/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;16993/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;18501/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;29522/2023;Copii minori: 3;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;29022/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;9684/2022;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;30555/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;28961/2023;Copii minori: 2;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;21625/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;22541/2024;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2038P;13167/2023;;Ordin-2038-P-din-16.06.2026-art11_Anonimizat.pdf
16.06.2026;2037P;32319/2023;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;30321/2023;Copii minori: 1;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;32996/2023;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;30544/2023;Copii minori: 2;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;32669/2023;Copii minori: 1;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;30339/2023;Copii minori: 1;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;100024/2019;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;30565/2023;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;30375/2022;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;30190/2023;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;20415/2023;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;30183/2023;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;32255/2023;Copii minori: 2;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;33701/2023;Copii minori: 1;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;26300/2023;Copii minori: 1;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;28592/2023;Copii minori: 1;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;27637/2023;Copii minori: 1;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
16.06.2026;2037P;4913/2024;;Ordin-nr.2037P-DIN-16.06.2026-Art.-11_Anonimizat.pdf
11.06.2026;2018P;47445/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;16176/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;37064/2023;Copii minori: 3;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;37189/2023;Copii minori: 1;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;37240/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;14652/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;30180/2023;Copii minori: 2;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;44440/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;18985/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;29975/2023;Copii minori: 2;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;44573/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;44751/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;28900/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;44753/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;37751/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;44567/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;28530/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;28084/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;1172/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;27956/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;29779/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;28836/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;41470/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;20779/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;41555/2023;Copii minori: 1;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;18858/2023;Copii minori: 1;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;27888/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;30020/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;18948/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;42034/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;27986/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;41964/2023;;Ordin-2018P-11.06.2026-art.11.pdf
11.06.2026;2018P;28549/2023;;Ordin-2018P-11.06.2026-art.11.pdf
